ACN,incident_year,label_unstable,text_main,env_flight_conditions,env_light,env_month,env_season,env_ceiling_bucket,env_visibility_bucket,env_has_turbulence,env_has_windshear,env_has_rain,env_has_icing,env_has_cloudy,env_has_fog,env_has_haze_smoke,env_has_thunderstorm,env_has_snow,env_any_adverse_weather
1607168,2019,0,I was the flying pilot and [the] First Officer was Pilot Monitoring; landing Runway 28L in SFO. Wind approximately 010/20 G30 kts. VFR conditions; cleared for a visual approach. At approximately 1000 FT on approach a 737 passed us on our right landing 28R. At approximately 30 - 50 FT above threshold the right wing started to come up. I responded with right aileron to counteract the roll. It took full right input to stop the rising right wing. The right wing finally started to lower and I neutralized the control and added back pressure as the aircraft was losing lift. The aircraft had a firm touchdown. I feel like the crosswind and the wake turbulence from the 737 contributed to the event. Although I was on or very close to approach speed; the aircraft was at too low an energy state to counteract the above forces. I felt minimal control authority the final 2-3 seconds of flight until touchdown.,VMC,Missing,Month_01,Winter,Missing,Missing,No,No,No,No,No,No,No,No,No,No
1607279,2019,0,The student was conducting his first night cross-country. We flew to ZZZ and conducted a normal landing. The landing was smooth and on centerline with no side loading. Upon landing we conducted our rollout and applied full power and were able to depart from ZZZ. On the way back; the student did a practice diversion into ZZZ1. We entered the pattern and planned to conduct a full-stop taxi back on Runway XX. Student conducted an excellent landing; smooth and on centerline; and no excessive braking. On the rollout; student began to drift aircraft towards the left and seemed to have trouble maintain centerline. I called out 'my controls' and took control of the aircraft to get back on centerline. I began to apply right rudder and was unable to correct for the drift and regain centerline. I realized that we would be unable to correct; so I made the decision to get the aircraft off the runway in case any aircraft may try to land. I placed the aircraft just passed the numbers (1) in the grass. At that point; I asked the student to look and see if there is any problem on his main gear. He said yes and the tire is flat; I added power and full right rudder to attempt to get back on the runway. I was unable and knew the problem was not a flat tire. We shut down the aircraft and I inspected the tire. I found the tire was displaced from the wheel well. Upon determining that there was no immediate solution I called Dispatch for assistance.In the future; I will check the tires before each landing in order to ensure they are in place and not flat. I will continue to land softly and ensure no unnecessary or unequal braking is applied during landing.,Missing,Missing,Month_01,Winter,Missing,Missing,No,No,No,No,No,No,No,No,No,No
1607313,2019,0,I was operating the banner tow aircraft within the northwest corner of the airport at 400 feet. This is what we call the banner box and we stay in this area to maintain separation from the airport traffic pattern which is at 800 feet. The airport was in east operations; winds from the east; below 10 knots.It was my 2nd flight in [this type of aircraft]; the first flight was done 2 weeks prior to this report. I was not completely comfortable with flying the aircraft yet.After flying within the banner box for approximately 30 min (no banners were used during this practice flight); I requested to join the traffic pattern to practice stop-and-go's. The tower cleared me to join the downwind leg for runway XXL. At that moment I was abeam the numbers of XXL; flying parallel to runway XXL on the north side. I begin my climb to 800 MSL and turn into the downwind leg which should have involved two 90 degree turns to the left. Instead; due to a lack of situational awareness; I make a 90 degree turn left; then a 90 degree turn to the right; as to join the downwind for runway XYR; which was not in use. I think that it should be noted that during my first flight in the aircraft; runway XYR was in use and I had been chair flying the night before picturing the airport in west operations.Now on the downwind for XYR; I see an aircraft at 12 o'clock beginning his downwind turn from crosswind (to face me head on); 400 feet below me. Immediately I begin a steep turn 180 degrees to the right; realizing that I had been flying the pattern in the reverse direction. At this point tower contacted me and asked if I understood what the downwind leg was. The aircraft that was mentioned turning downwind is now at my 2 o'clock; same altitude.Tower clears me for a stop-and-go on runway XXL; and I comply. This is a mistake; as I should have requested to terminate my flight at this point. I continue to make 2 laps of the traffic pattern. On the 3rd lap of the traffic pattern; I am on downwind; tower clears me to make a stop-and-go; number 4 for XXL; following a Piper Cherokee. I see traffic on short final and I see a PA-28 abeam me on final. I do not spot any other traffic behind this PA-28. Despite not finding the 3rd aircraft; I decide to make the terrible decision and conclude that he is the Cherokee mentioned by tower; and I begin my base turn to fly behind this PA-28. On the base leg; I again check for traffic on final and do not spot anybody in trail of this PA-28.I am on final when an aircraft reports that I have cut in front of them. Tower tells me that the PA-28 I am following is a Piper Arrow; and that I did not follow his instructions and promptly vectors me northbound. I do not know how close the Cherokee behind me got. No evasive maneuvers had to be taken by any of the planes.At this point I am told to make a full stop landing by tower and I comply. ATC never gave me a number to contact; although I definitely feel like I should have been given one.After securing the aircraft; my instructor (who was monitoring on the ground) and I decide to call the tower and apologize. We then went over my lack situational awareness which was the major factor that fueled the events that occurred during the flight.,VMC,Daylight,Month_01,Winter,Missing,6_to_10,No,No,No,No,No,No,No,No,No,No
1607322,2019,0,VMC Visual approach into ZZZ. I was Non-flying Pilot. PIC was on stable approach; fully configured on VASI [Visual Approach Slope Indicator] to Runway XX. Landed at ref speed in touchdown zone. Runway bare and dry. OAT -20C. No wind. After touchdown on centerline; aircraft veered hard right. Captain corrected immediately and it veered hard left departing runway at approximately 60 knots. Nose gear contacted a runway sign after departure from paved surface. After stopping; taxied back onto runway and to ramp without further issue. No eye witnesses and no other traffic in the area.,VMC,Dawn,Month_01,Winter,Missing,Missing,No,No,No,No,No,No,No,No,No,No
1607344,2019,0,After landing on Runway XX on speed and centerline and slowing at brake application aircraft veered right while trying to correct; aircraft veered to left and departed runway surface on to packed snow. During exit; clipped taxiway sign. After taxiing to ramp there is no visible damage to aircraft. There are no other persons involved or anyone who witnessed the incident.,VMC,Missing,Month_01,Winter,Missing,6_to_10,No,No,No,No,No,No,No,No,No,No
1607408,2019,0,On a night approach to ILS XX ZZZ; we requested and were being vectored for an ILS to Runway XX. We were just northeast of the ZZZZZ fix on the ILS on a modified left base; on vectors. We were level at 6000 feet with the autopilot on. We were at 210 knots; Flaps 1 and slowing to 190 knots. We were receiving delaying vectors due to traffic inbound for Runway XY and our procedure to only use Runway XX at night. We received a Terrain Warning and executed the proper procedure for 'Terrain; Terrain'. During the procedure (I was flying) the First Officer notified ATC that we were responding to a Terrain Warning. We then received clearance to level at 8000 feet; which we did. (We only received one warning). We then received another vector to intercept the ILS and a clearance for the approach. We executed a normal approach and landing after that to Runway XX. ATC asked us to contact them on arrival. I called ATC (ZZZ Tracon) and spoke with the Tracon Supervisor who was also on duty vectoring us. He said that they had looked this over and that we were inside the 6000 foot MVA [Minimum Vectoring Altitude] corridor and that the nearest obstacle was 11 miles away at 5500 feet.,VMC,Missing,Month_01,Winter,Missing,Missing,No,No,No,No,No,No,No,No,No,No
1607411,2019,0,I was the Captain on Flight XXX to ZZZ. Flight was uneventful until final approach into ZZZ. During the ILS approach to [Runway] ZZC; as we lowered the landing gear; we heard what sounded like two small explosion/bangs in the back of the aircraft. The first EICAS message we noticed was a GEAR DISAGREE. The right main gear and the nose gear showed green down and locked while the left main gear did not. We coordinated with ZZZ Approach Control and went around from the approach. Shortly thereafter; the EICAS L HYD QTY light came on and we verified a loss of all left hydraulic quantity and then a L HYD Pressure EICAS appeared. I was flying the aircraft. There was a considerable amount of vibration so I elected to keep flying the aircraft while the First Officer started running the checklist for the unsafe gear indication to include an alternate gear extension followed by the hydraulic quantity and pressure indications. We quickly talked to the flight attendants and gave them the info in the TEST communication procedures. I told them to prep for evacuation as I did not know the status of the left main landing gear combined with the vibration and very loud explosive noise during the gear extension. A short message was sent to Dispatch and we requested Tower to notify the Company. ZZZ Tower asked if we wanted to flyby down the runway to see if either they or another aircraft on the ground could see if the left gear was extended or not. I gave an initial PA to the passengers and told them we were working on an issue and going to do an approach by the runway to allow the Tower and other aircraft to tell us what they see. We accomplished that and the aircraft on the ground said it appeared that the gear was extended. We did not change our configuration at all during the go-around or subsequent approaches. (Gear down and flaps 20). One of the checklists (Gear Disagree) said to land with flaps 30 and the other L HYD said flaps 20. We stayed at flaps 20. Landing distance was not an issue. After the second go-around we asked for a short approach as fuel was becoming a concern. We talked to the flight attendants again and told them we were going in for our approach and landing. I made one more PA to the passengers. The Tower had the fire trucks in place. The left main landing gear down and locked green light remained off throughout the landing. We landed on [Runway] XXC and stopped straight ahead on the runway. We kept the passengers in their seats. The landing and rollout was fairly smooth which made me think the tires blew well before landing. Two of the four main tires on the left truck were blown with the other two intact. The Fire Department contacted us directly on the radio. They remarked that there was significant amount of hydraulic fluid near the left gear. Once they cleared the airplane; Operations sent buses to the aircraft and the passengers disembarked. All passengers were fine with no injuries to passengers or crew.Initial inspection by Maintenance stated that a hydraulic actuator piston failed under pressure and may have sent metal into two of the tires as they were leaving the wheel well creating the two loud bangs.The entire crew attended the flight attendants debriefing in the inflight conference room at ZZZ. The flight attendants did an outstanding job throughout. Their professionalism was apparent throughout the event and greatly helped the passengers to remain calm and attentive.,IMC,Missing,Month_01,Winter,Missing,Missing,No,No,No,No,No,No,No,No,No,No
1607500,2019,0,I was the Pilot Monitoring on this leg. Upon the arrival into the terminal area; Bangor Approach was giving us radar vectors for the ILS 33 approach. We were eventually told turn to a heading of 360 and to maintain 2500 feet until establish [and] cleared for the ILS 33 approach. At the time; we were in between CUVOT and ELSUH still on the assigned heading when we received a 'terrain terrain; pull up' with a ground proximity caution message on the PFD. The captain proceeded with a go-around procedure. I contacted ATC and we were given a heading and altitude to fly. We then performed all necessary procedures to come back around and land safely. We asked ATC what the possible cause of the alert was and he then advised us that his minimum vectoring altitude was 2100 feet in the area (we were at 2500) and that he has seen it happen before to aircraft due to a hill between CUVOT and ELSUH. Escape maneuver followed by an uneventful landing and arrival to the gate. Request to join the localizer at a higher altitude in IMC conditions,IMC,Daylight,Month_01,Winter,Missing,Missing,No,No,No,No,No,No,No,No,No,No
1607543,2019,0,With the Captain as Pilot Flying (PF) and on heading 090 at 4000 ft we were cleared to turn heading 030 and join the 36L LOC. In the turn to intercept the LOC the PF airspeed and altitude tapes began to increase rapidly. This caused the autopilot to disengage; the Auto Throttle to disengage; the L and R ENG EEC to indicate off; the TERRAIN SYS OVRD to FAIL and the L transponder to fail. In addition; there were comparator indications on the PFD and the overspeed warning sounded. The altitude and airspeed tapes did not freeze or slowly indicate a difference. It was rapid and continuous. The comparator indications were present but due to the complexity of the situation I do not recall each comparator that was displayed. Once all the above occurred while in the turn the PF did his best to quickly cross check and determine which flight instruments were providing good information and which were providing bad information. We were able to determine the right avionics and standby avionics information was good and the left air data information was bad. This was all occurring while hand flying and trying to maintain the LOC course and assigned altitude. Due to the loss of the left transponder ATC approach was not receiving an altitude input from us and asked to verify altitude. The Captain as PF when the failure occurred transferred controls to the First Officer once the airplane was stable and the determination was made that the First Officer (FO) avionics information was accurate. The First Officer became the PF and the Captain became the Pilot Monitoring (PM). The Captain assumed radio communication and advised ATC that we have an avionics malfunction. The PM then reported to ATC our current altitude and deviation from the LOC as we worked to center the LOC guidance. With the airplane stable at 4000 ft and on the 36L LOC the PM told ATC that we would like a vector away from the immediate airport area to reference our checklist and would like to stay within 20 miles of the airport. Due to the busyness of [the situation] the PM requested that ATC provide holding type vectors and that we could not accept a holding pattern. This was to prevent either pilot from being heads down setting up the FMS. Once on a heading out of the immediate approach traffic area and stable at 4000 ft the PM referenced the QRH. There were approximately 5 Amber CAS messages displayed associated with the failures. The L ENG EEC and R ENG EEC messages were referenced in the QRH. This guidance did not apply to the root of the problem based on the air data system failures and we discussed that we should focus on the Airspeed Unreliable checklist. We followed the Airspeed Unreliable non-normal QRH procedure. The PM completed the checklist and the PF monitored the airplane. Following the checklist guidance; we reengaged the autopilot to help with workload management. Once the checklist was complete and we were holding on the deferred items the PM (Captain) brought to the PF's attention that as an additional tool we could radio Dispatch and have them communicate with Maintenance to determine if there were any further actions we could take with their guidance. At the time we had approximately 13;000 lbs of gas and both agreed we had time to get additional guidance. The PF took over ATC communications and the PM communicated with Dispatch. We contacted Dispatch and relayed all our indications to them and they communicated with Maintenance. Maintenance's response was they felt the L ADC was bad and to use the R ADC information; just as the checklist guidance provided. After finishing communication with Dispatch the PM summarized our situation and asked if the PF had any input or questions prior to continuing. We both agreed we were on the 'same page' and setup and briefed the approach. We advised ATC we were ready for the approach and told them we would like to join the ILS 36L outside of ZZZZZ1 at 4;000 ft. ATC provided vectors and then switched us to final Approach Controller. On the approach frequency the controller changed our landing runway to 36C. The PM setup the XXC ILS and briefed the PF on the changes. We joined the LOC XXC approximately 10-15 miles outside of ZZZZZ at 4;000 ft. I told the Approach Controller we would be in a non-normal approach configuration and our airspeed would be higher than normal. I also told the controller not to put anyone in front of us to reduce the likeliness of a go-around. On the final approach course the Approach Controller asked us to slow twice and to descend. The first airspeed reduction was not an issue and we slowed. He asked us to descend to 3;000 ft and I told him we would like to stay at 4;000 ft and follow the GS guidance down on the approach. He approved this and then asked us to slow again. I told him 'you are not making this easy; we are [a priority] aircraft'. I told him this because we were [a priority] aircraft and our plans were to be stable and configured on the ILS no later than 10 miles out to reduce our possibilities of becoming unstable on the approach. We continued the ILS XXC Approach with the FO as PF and the Captain as PM. The approach and landing were normal. Per our plan and brief; the PF (FO) brought the airplane to a stop on the runway and then transferred the controls to the Captain to taxi. Once clear of Runway XXC we cancelled the emergency and taxied to the gate. Unreliable Airspeed due to ADC failure,IMC,Missing,Month_01,Winter,Missing,Missing,No,No,No,No,No,No,No,No,No,No
1607628,2019,0,We were accomplishing some pattern work; and did 6 touch and goes.  On the final landing; after landing; the aircraft went into an uncontrollable left-hand skid/veer - pointing the aircraft toward an area of construction consisting of an approximate 10 ft drop-off.  My instructor took control of the situation; preventing a prop strike; and/or a potentially harmful situation.  Safely landing the aircraft on the other side of the construction area after going past the drop-off.  No one was injured in the event. Initially; the aircraft received a damaged nose-wheel pant and was able to be towed to its hangar for inspection.  Due to the limited damage; this was deemed an incident by the instructor and not an accident; no substantial damage was caused to the airplane.,Marginal,Daylight,Month_01,Winter,Low,6_to_10,No,No,No,No,No,No,No,No,No,No
