case_group,ACN,incident_year,Aircraft 1 | Flight Phase,Environment | Flight Conditions,Environment | Weather Elements / Visibility,Environment | Light,Environment | Ceiling,true_label,predicted_label,score,text_word_count,narrative_excerpt
True Positive,2270173,2025,Final Approach; Initial Approach,VMC,,Daylight,,1,1,0.9967807240185566,484,We were cleared for a visual approach to Runway XX at ZZZ. ATC requested that we keep our base within 6 nm of the approach end of Runway XX due to traffic spacing. In order to 'help out ATC we accepted the clearance. We were initially high and fast; so the pilot flying (PF) elected to slow by dropping the gear early; and extend the spoilers. This allowed us to lose altitude and try and slow as we made a 5 nm left base. We also configured on speed with Flaps 20; and then Flaps 30. After we extended the flaps to 30 (with the gear and spoilers extended) it began to look like we would be stable by 500 ft. This made it feel similar to the approach that we had into ZZZ1 on the previous leg. As we 
True Positive,2233063,2025,Final Approach; Initial Approach,,,,,1,1,0.9913599224738924,222,When flying into SAV they were advertising the visual approach to Runway 28. I backed it up with the RNAV approach (this is the only one they had available). We were cleared for the approach when we reported the airport in sight. I started the approach by intercepting the final course then followed by the glide path. As we were descending on the glide path I began to notice that we were relatively high on the PAPIs. All four indicators were white while on glide path. I verbally stated that I was correcting to meet the PAPIs. This required a more steep angle than it should have. My Captain Operating Experience candidate was monitoring the vertical speed and air speed; as was I. I had to maint
True Positive,2229971,2025,Initial Approach,VMC,,Daylight,,1,1,0.9895388954059576,252,While on the approach to landing in gusty conditions; a single audible 'sink rate' sounded. As pilot flying I pitched up and added power while announcing 'correcting.' Approximately 3 to 5 seconds later another single audible 'sink rate' sounded. again; I added power and pitched up. At the second 'sink rate' I scanned my speed and VSI and observed them to be within the stabilized approach criteria and elected to continue the approach having internally considered calling for a go around. The flight continued and landed safely without  incident. During the debriefing portion of the post-flight; the captain commented he had momentarily observed a VSI of 1200 FMP and that the approach may have b
True Positive,2216840,2025,Final Approach,VMC,,,,1,1,0.9890069673244636,186,Base leg for visual XXL downwind descending from 6;000 ft to 1800 ft. Turned in close and high by approach of XXL at ZZZ.  Tailwind of 27 knots. Ended up at FAF (ZZZZZ) at approximately 185 - 180 Knots gear down flaps 20. G/S did not capture and commanded level off. Autopilot still on at this time. Touchdown elevation was set as soon as we passed ZZZZZ.  A/C staring adding power and leveling off. Auto pilot disengaged shortly [after] ZZZZZ. Aircraft now higher and faster 185 knots approximately.  I deployed speed brakes and started descending trying to catch glide slope. Hit 1000 foot gate.  Flaps to 25 then 30. Slowing but coming down too fast. Descended through glide slope. Got 'GLIDESLOPE
True Positive,2260551,2025,Final Approach,IMC,Rain,,,1,1,0.9858779824738676,191,During our approach into ZZZ we executed a go around due to not being stable by 1000ft. We got to focused on weather near the field and were distracted trying to make a decision on if we were going to beat the storms in. Because of that distraction we ended up starting the approach high and fast. In trying to get down and slow down we found ourselves not configured for landing and below glideslope by 1000ft. ATC then called out a low altitude alert. so we immediately executed a go around to try the approach again. On our second attempt at the approach the storms had moved closer into the airport and had intensified. We were painting extreme precipitation on top of the field for the second at
True Positive,2274341,2025,Initial Approach,VMC,,Daylight,,1,1,0.9849681908577338,197,During a visual approach; the aircraft started out too high above the glide path. The FO was hand flying and began descending too aggressively and overcorrected; ending up low below the glide path. After completing the before landing checklist the CA recognized and called out a high rate of descent and corrections were made. Tower issued a low altitude alert. The aircraft was returned to a normal glide path and continued to land.The CA and FO were unfamiliar with the landing airport and assigned procedure; and a lack of experience in the aircraft for the FO; especially recent experience; led to a higher level of saturation during the approach. Task saturation and inadequate monitoring from P
True Positive,2295562,2025,Final Approach,VMC,,,,1,1,0.9833134888115342,113,"During approach to IAH; RUNWAY 26R; we were following a Heavy 767. Approach kept us fast (210kts) and high (5K) during the base leg and final to 26R. When cleared for the approach; we were high/above the glide slope. I disconnected the AP (Autopilot) and AT (Autothrottles); while attempting to capture the glide slope. Upon capturing the glide slope; we were fast. FO progressively lowered the flaps in accordance with the transitional speeds in an effort to slow us and stabilize"" the approach. Once stable; we began experiencing Wake Turb from the 767.  It was then that we elected to conduct a Go-Around due to becoming unstable. Missed approach was conducted without incident."""
True Positive,2251886,2025,Final Approach,VMC,,,,1,1,0.9827789066308396,299,Arriving into SFO and still on the DYAMD5 arrival; we were cleared for the ILS 28R approach from ARCHI. The airplane stayed in LNAV/VNAV PTH the whole time until just past CEPIN; when the First Officer (FO) who was pilot flying (PF); armed approach mode and LOC and GS became active. The localizer and glide slope diamonds were right on at the time the modes became active; Autopilot CMD B was engaged; and we were gear down at Flaps 15. At around 1;800' approaching AXMUL just as the FO had called for Flaps 30 and the landing checklist; the airplane had a slight rolling motion and began to pitch up. At first it felt like wake turbulence but then we noticed the glideslope diamond at about half a 
True Positive,2290408,2025,Final Approach,VMC,,,,1,1,0.9826621832881708,640,FO was PF and I was PM. Arrival/approach briefing and preparation was good and completed prior to TOD. Our STAR into ZZZ was the ZZZZZ; but we were vectored off the arrival to the east of ZZZ and for a visual approach. Weather at ZZZ was completely day VMC with higher clouds at the time. Consequently; we never lost visual on the airport or terrain throughout the approach. All was normal until we received the visual approach clearance. Our visual approach clearance to XXR was a little different because it occurred with a vector that would have us intercept final after ZZZZZ [fix]. This confused the FO where he wasn't clear on what or if any certain altitudes needed to be maintained (he didn't
True Positive,2291400,2025,Final Approach,,,,,1,1,0.9816905277079696,381,I was Pilot Monitoring (PM) during  a morning arrival into a high traffic environment at ZZZ.  The airport was landing on parallel runways XXR and XY with departures on XXL.  The airspace congestion level was evidently high as we listened to an aircraft ahead of us respond to a TCAS Resolution Advisory during their approach.  Once we were given our turn to intercept final at approximately 4000ft; we received a TCAS TA for traffic parallel to us off our right wing.  During this time the pilot flying (PF) was configuring to slow the aircraft as we were slightly fast for this segment of the approach.  As I shifted my attention back to the instruments after verifying the Traffic Advisory; I noti
